X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.10024386724,34.0976456373161,900,211,,Emergency Response,Cooling Center,,www.asianyouthcenter.org,Asian Youth Center,100 W. Clary Ave.,,San Gabriel,CA,"Monday through Friday, 9:00am to 6:00pm. ","Case/Care Management for Pregnant and Postpartum Women Service/Intake (626) 731-1161,  Service/Intake and Administration (626) 309-0622,  FAX (626) 309-0717",www.asianyouthcenter.org,,,1061,"The agency provides health services and youth services for youth and young adults, age 6 to 18, in the San Gabriel Valley and from satellites in Los Angeles and Lancaster.",91776,http://egis3.lacounty.gov/lms/?p=1061,publish,34.09764567,-118.10024381,,2016/05/02 12:40:17+00,,6531321.74301006,1857930.65875898
-117.728518217717,34.0996740870258,944,211,,Emergency Response,Cooling Center,,www.ci.claremont.ca.us,City Of Claremont Senior Services - Joslyn Senior Center,660 N. Mountain Ave.,,Claremont,CA,"Monday through Friday, 8:00 am to 5:00 pm. ","Senior HelpLine/Housing Info Service/Intake (909) 625-4600,  Service/Intake (909) 399-5488,  FAX (909) 621-7320",www.ci.claremont.ca.us,,,1072,"The center provides advocacy, cooling center, health services, housing services, nutrition services, and services for older adults, age 55 and older, and for people who live in the City of Claremont.",91711,http://egis3.lacounty.gov/lms/?p=1072,publish,34.09967412,-117.72851816,,2016/04/27 15:55:43+00,,6643858.75481223,1858764.71220897
-118.531121085415,34.1872354961881,1913,211,,Emergency Response,Cooling Center,,www.onegeneration.org,Onegeneration - Senior Enrichment Center,18255 Victory Blvd.,,Reseda,CA,"Monday through Friday, 8:30am to 5:00pm. ","Immigration Services Appts. Service/Intake (818) 708-6380, Site phone Service/Intake (818) 996-1909,  Service/Intake and Administration (818) 705-2345",www.onegeneration.org,,,2068,"The agency provides child care, senior nutrition programs, and intergenerational services for older adults in the San Fernando Valley.",91335,http://egis3.lacounty.gov/lms/?p=2068,publish,34.18723553,-118.53112103,,2016/05/02 11:44:08+00,,6401047.64069788,1890943.27121131
-118.303890056453,33.9028699675517,1946,211,,Emergency Response,Cooling Center,,css.lacounty.gov,Los Angeles County Community And Senior Services - Asian Service Center,14112 S. Kingsley Dr.,,Gardena,CA,"Monday through Friday, 8:00 am to 5:00 pm. ","Service/Intake and Administration (310) 217-7300,  FAX (310) 516-9226",css.lacounty.gov,,,2107,"The center provides emergency food, health services, and information and referral to people who live in Los Angeles County.",90249,http://egis3.lacounty.gov/lms/?p=2107,publish,33.90287,-118.30389,,2016/04/28 09:22:12+00,,6469454.15447514,1787172.02599831
-117.804699857746,34.1072398973602,1949,211,,Emergency Response,Cooling Center,,www.cityofsandimas.com,City Of San Dimas Parks And Recreation Department - San Dimas Senior Citizen And Community Center,201 E. Bonita Ave.,,San Dimas,CA,"Monday through Friday, 8:00am to 5:00pm. ","S.H.A.R.E.S program Service/Intake (909) 394-6208,  Service/Intake (909) 394-6290",www.cityofsandimas.com,,,2108,The center provides services for older adults who live in San Dimas.,91773,http://egis3.lacounty.gov/lms/?p=2108,publish,34.10723993,-117.8046998,,2016/05/02 12:07:55+00,,6620790.20580505,1861464.49486715
-118.272623056222,33.9146759672583,2558,211,,Emergency Response,Cooling Center,,css.lacounty.gov,Los Angeles County Community And Senior Services - Willowbrook Senior Center,12915 Jarvis Ave.,,Los Angeles,CA,Monday – Friday 8:00 am – 5:00 pm,Service/Intake (310) 217-5650,http://css.lacounty.gov/service-locations/willowbrook-senior-center/,,,2797,The center provides services for older adults age 55 and older who live in the Watts/Willowbrook and South Central areas of Los Angeles.,90061,http://egis3.lacounty.gov/lms/?p=2797,publish,33.914676,-118.272623,,2016/04/28 16:16:42+00,,6478953.83166997,1791441.27730231
-118.144691787785,34.7016420857606,3103,211,,Emergency Response,Cooling Center,,css.lacounty.gov,Los Angeles County Community And Senior Services - Antelope Valley Senior Center,777 W. Jackman St.,,Lancaster,CA, Monday through Friday 8:00 am to 5:00 pm,"Lancaster Senior Center Service/Intake (661) 726-4400,  FAX (661) 940-7947",http://css.lacounty.gov/service-locations/antelope-valley-senior-center/,,,3248,The center provides services for adults 50 years and older who live in Antelope Valley.,93534,http://egis3.lacounty.gov/lms/?p=3248,publish,34.70164212,-118.14469173,,2016/04/28 13:14:11+00,,6518181.64100946,2077754.24995081
-118.04450705715,34.1311819668999,54325,211,,Emergency Response,Cooling Center,,NULL,City Of Arcadia Recreation And Community Services Department - Senior Citizen Services,365 Campus Dr.,c/o Arcadia Community Center,Arcadia,CA,"Monday through Friday, 8:30am to 4:30pm. ","Recreation Dept. FAX (626) 821-4370,  Service/Intake (626) 574-5130, Also FAX # TDD (626) 447-5854",,,,56827,The agency provides a variety of services for older adults age 50 and older who live in Arcadia and surrounding areas.,91007,http://egis3.lacounty.gov/lms/?p=56827,publish,34.131182,-118.044507,,2016/04/26 16:39:56+00,,6548201.33654739,1870123.00182831
-118.179212626559,34.0370113370474,55299,211,,Emergency Response,Cooling Center,,css.lacounty.gov,Los Angeles County Community And Senior Services - East Los Angeles Community Service Center,133 N. Sunol Dr.,,Los Angeles,CA,"Monday through Friday, 8:00 am to 5:00 pm. ","FAX (323) 266-6457,  Service/Intake (323) 260-2801,  Service/Intake and Administration (323) 260-2806",css.lacounty.gov,,,57433,The agency provides emergency food and information and referral to people who live in East Los Angeles.,90063,http://egis3.lacounty.gov/lms/?p=57433,publish,34.03701137,-118.17921257,,2016/04/28 14:01:08+00,,6507374.81058906,1835897.93970114
-118.529559976624,34.375453165877,55590,211,,Emergency Response,Cooling Center,,www.scv-seniorcenter.org,Santa Clarita Valley Senior Center,22900 Market St.,,Santa Clarita,CA,"Monday through Friday, 8:00am to 4:30pm. ","Administrative (661) 259-9444, Support Services Service/Intake (661) 255-1588,  FAX (661) 259-1647",www.scv-seniorcenter.org,,,57622,"The agency provides services for older adults age 60 and older and for disabled adults, including those with visual impairments, age 18 and older and utility bill assistance for people who live in the Santa Clarita Valley.",91321,http://egis3.lacounty.gov/lms/?p=57622,publish,34.3754532,-118.52955992,,2016/05/02 12:45:34+00,,6401880.60655163,1959435.72182456
