ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
06,California,CA,06001,Alameda,06001,"Alameda County, California",737.461520028006,1661584,0,605767,422,573174,1395,233543,5366,43126,1796,147454,2797,132307,2763,70389,2810,231186,0,341591,0,151635,3012,29079,1353,119494,3061,1153001,6526,135019,2273,7291,571,45236,1588,53539,1379,31878,1199,14.3,0.3,4.7,0.2,25.7,0.5,11.2,0.2,4.3,0.2,13.9,0.0,20.6,0.0,9.2,0.2,5.1,0.2,7.6,0.2,69.4,0.4,22.3,0.4,1.2,0.1,7.9,0.3,9.3,0.2,1.9,0.1,0.1228,0.193,0.1579,0.3684,0.1228,0.9649,0.1053,0.2632,0.3509,0.1053,0.3509,0.614,1.6843,0.0702,0.8596,0.8596,0.8596,0.9298,0.0351,0.7544,0.9825,0.4211,3.1229,0.8772,6.6317,0.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1715160,110366,4585,167316,1387,369546,0,515105,2453,4942,249,12924,533,76404,3004,6764,6764,6.8,0.0,10.1,0.1,22.2,0.0,31.0,0.1,0.3,0.1,0.8,0.1,4.6,0.2,0.4,0.1
06,California,CA,06003,Alpine,06003,"Alpine County, California",738.340000147914,1159,172,1794,120,397,79,227,92,45,30,46,20,41,24,88,53,337,62,252,64,182,65,8,8,17,47,564,353,450,100,21,19,15,10,13,8,35,18,19.6,7.4,10.0,6.4,11.6,4.5,4.7,2.6,7.6,4.5,29.1,5.2,21.7,4.5,15.7,4.9,2.0,2.0,1.6,4.3,48.7,29.6,25.1,5.3,1.2,1.1,3.8,2.4,3.3,2.1,3.0,1.5,0.4211,0.9474,0.0,0.0,0.6667,2.0352,0.3509,1.0,0.5088,0.7018,0.0,0.2105,2.4211,0.5263,0.4912,0.4912,0.4912,0.9649,0.0351,0.2807,0.0526,0.7018,2.0351,0.193,6.9826,0.3509,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1299,114,245,10,23,183,111,6,9,333,41,0,13,32,23,0,0,10.1,1.6,0.9,2.0,15.8,7.9,0.5,0.8,28.7,4.2,0.0,3.4,2.8,2.1,0.0,3.4
06,California,CA,06005,Amador,06005,"Amador County, California",594.583866431254,39023,0,18246,170,14844,451,5416,776,853,197,4398,586,2711,314,1817,421,10537,98,5962,67,6336,679,493,144,418,131,9062,436,908,374,1349,216,381,138,1009,383,3578,380,15.3,2.2,5.6,1.3,29.6,3.8,8.8,1.0,5.1,1.2,27.0,0.3,15.3,0.2,17.9,1.9,3.3,1.0,1.1,0.3,23.2,1.1,5.0,2.0,7.4,1.2,2.6,0.9,6.8,2.6,9.2,1.0,0.1754,0.3333,0.4035,0.1579,0.2105,1.2806,0.193,0.8596,0.0175,0.8596,0.0526,0.1053,1.8946,0.1579,0.1754,0.1754,0.1754,0.386,0.5789,0.1579,0.7895,0.9474,2.8597,0.6667,6.2103,0.2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,37659,4304,883,867,125,5591,0,352,104,205,70,30,35,1768,244,249,249,12.1,0.1,2.2,0.3,14.3,0.0,0.9,0.3,0.5,0.2,0.1,0.1,4.5,0.6,0.6,0.6
06,California,CA,06007,Butte,06007,"Butte County, California",1636.488963275196,223344,0,93968,223,83879,885,63024,2406,7687,783,29129,1348,15042,962,13336,1015,40663,32,44865,0,37565,1531,4313,487,5615,637,64420,2000,7581,740,11432,727,2905,424,5564,594,6245,543,28.9,1.1,7.4,0.8,34.7,1.6,10.3,0.7,6.0,0.5,18.2,0.1,20.1,0.0,17.0,0.7,5.1,0.6,2.7,0.3,28.8,0.9,8.1,0.8,12.2,0.8,3.5,0.5,6.6,0.7,2.8,0.2,0.8246,0.6667,0.8421,0.3158,0.3684,3.0176,0.5965,0.614,0.2982,0.807,0.3509,0.2982,2.3683,0.4386,0.2456,0.2456,0.2456,0.5789,0.8596,0.2632,0.7368,0.6491,3.0876,0.8596,8.7191,0.5965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211098,19835,1877,3778,316,37585,0,10350,507,1725,323,487,138,10160,792,335,335,9.1,0.0,1.7,0.1,16.8,0.0,4.6,0.2,0.8,0.1,0.2,0.1,4.5,0.4,0.1,0.1
06,California,CA,06009,Calaveras,06009,"Calaveras County, California",1020.0186879846179,45828,0,28096,63,16958,557,9067,1157,949,241,5956,645,3641,530,2424,628,12840,244,7618,170,9146,915,726,242,312,217,9048,453,429,188,2108,342,315,136,269,99,514,154,20.0,2.5,5.2,1.3,35.1,3.6,10.3,1.5,5.3,1.4,28.0,0.5,16.6,0.4,20.1,2.0,4.3,1.4,0.7,0.5,19.7,1.0,1.5,0.7,7.5,1.2,1.9,0.8,1.6,0.6,1.1,0.3,0.4386,0.2982,0.8947,0.3158,0.2456,2.1929,0.4211,0.9298,0.0877,0.9825,0.2105,0.0351,2.2456,0.3509,0.0526,0.0526,0.0526,0.0175,0.614,0.0526,0.0,0.1053,0.7894,0.0,5.2805,0.1053,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,35355,5807,1258,450,159,5710,0,864,152,271,146,18,21,1691,284,44,44,12.8,0.1,1.0,0.3,12.5,0.0,1.9,0.3,0.6,0.3,0.0,0.1,3.7,0.6,0.1,0.1
06,California,CA,06011,Colusa,06011,"Colusa County, California",1150.712426560154,21491,0,8153,58,7329,163,4958,748,425,149,2152,285,3728,276,1815,360,3142,73,5863,59,2861,309,596,157,2821,379,14009,228,155,73,612,114,434,130,324,110,202,65,23.3,3.5,4.2,1.5,29.4,3.8,27.2,2.0,8.5,1.7,14.6,0.3,27.3,0.3,13.4,1.4,8.1,2.1,14.2,1.9,65.2,1.1,1.9,0.9,7.5,1.4,5.9,1.8,4.4,1.5,0.9,0.3,0.5439,0.0702,0.386,0.9298,0.8421,2.772,0.5263,0.3684,0.8772,0.5789,0.8421,0.9649,3.6315,0.9825,0.7368,0.7368,0.7368,0.0526,0.614,0.5614,0.2456,0.0175,1.4911,0.1053,8.6314,0.5789,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,22483,2700,495,263,61,12840,0,160,85,149,71,32,35,512,120,53,53,12.7,0.0,1.2,0.3,59.7,0.0,0.7,0.4,0.7,0.3,0.1,0.2,2.4,0.6,0.2,0.3
06,California,CA,06013,Contra Costa,06013,"Contra Costa County, California",716.929061615816,1147788,0,415067,303,398299,1065,156345,5795,32666,1747,98841,2767,80257,2339,57133,2864,181578,0,260191,0,127957,2672,23103,1256,65454,2634,658653,5096,53171,1691,6533,606,19927,1241,21003,1402,9828,752,13.7,0.5,5.5,0.3,24.8,0.7,10.1,0.3,5.0,0.3,15.8,0.0,22.7,0.0,11.2,0.2,5.8,0.3,6.0,0.2,57.4,0.4,12.8,0.4,1.6,0.1,5.0,0.3,5.3,0.4,0.9,0.1,0.0877,0.3158,0.1228,0.2807,0.1754,0.9824,0.1228,0.4912,0.6491,0.2632,0.5088,0.4912,2.4035,0.4912,0.6316,0.6316,0.6316,0.7719,0.0877,0.4561,0.4912,0.0175,1.8244,0.1228,5.8419,0.1754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998459,56576,3642,94463,1509,295791,0,196904,2267,2198,370,5269,370,59875,3550,4153,4153,5.0,0.0,8.2,0.1,25.8,0.0,17.2,0.2,0.2,0.1,0.5,0.1,5.2,0.3,0.4,0.1
06,California,CA,06015,Del Norte,06015,"Del Norte County, California",1006.22738554957,27692,0,11349,117,9805,313,6747,948,625,182,2990,410,4008,359,1370,405,4924,103,6003,114,4622,446,613,207,411,164,10764,1934,433,178,2220,262,395,131,847,262,2790,289,27.4,3.8,6.4,1.8,30.5,4.1,20.3,1.8,5.5,1.6,17.8,0.4,21.7,0.4,18.5,1.8,6.3,2.1,1.6,0.6,38.9,7.0,3.8,1.6,19.6,2.3,4.0,1.3,8.6,2.6,10.1,1.0,0.7719,0.5088,0.4737,0.8246,0.2632,2.8422,0.5789,0.5789,0.5088,0.8947,0.614,0.2105,2.8069,0.6842,0.4035,0.4035,0.4035,0.2632,0.9474,0.3333,0.9474,0.9825,3.4738,0.9649,9.5264,0.7719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,27006,3099,601,723,126,5552,0,851,174,1867,228,50,36,1380,358,341,341,12.4,0.1,2.6,0.5,20.0,0.0,3.1,0.6,6.7,0.8,0.2,0.1,5.0,1.3,1.2,1.0
06,California,CA,06017,El Dorado,06017,"El Dorado County, California",1707.84872758093,190345,0,91569,158,73078,874,25790,2223,4197,443,20187,1110,8300,724,8174,918,40418,98,37911,42,24758,1123,2508,389,2722,419,43426,1198,4353,499,4861,528,1864,331,3117,438,1766,356,13.7,1.2,4.7,0.5,27.6,1.5,6.0,0.5,4.3,0.5,21.2,0.1,19.9,0.0,13.1,0.6,3.4,0.5,1.5,0.2,22.8,0.6,4.8,0.5,5.3,0.6,2.6,0.5,4.3,0.6,0.9,0.2,0.0877,0.193,0.2456,0.0702,0.1228,0.7193,0.0702,0.7368,0.2632,0.5439,0.0702,0.1579,1.772,0.1228,0.1404,0.1404,0.1404,0.3684,0.4211,0.1579,0.1754,0.0175,1.1403,0.0702,3.772,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165238,14889,1283,1439,203,24773,0,9023,470,864,294,439,100,6579,624,309,309,7.9,0.0,0.8,0.1,13.0,0.0,4.7,0.2,0.5,0.2,0.2,0.1,3.5,0.3,0.2,0.1
06,California,CA,06019,Fresno,06019,"Fresno County, California",5958.379844919784,990204,0,333357,328,310097,1237,316814,7716,39697,2052,110585,2808,138814,2658,76302,3248,121129,59,281391,0,127456,2547,27574,1225,99823,3270,706035,5152,28072,1469,12429,899,29905,1591,24446,1188,16855,867,32.6,0.8,8.9,0.4,35.7,0.9,22.7,0.4,7.8,0.3,12.2,0.1,28.4,0.0,13.0,0.3,8.9,0.4,10.9,0.4,71.3,0.5,8.4,0.4,3.7,0.3,9.6,0.5,7.9,0.4,1.7,0.1,0.9298,0.8246,0.9123,0.8421,0.7368,4.2456,0.9298,0.0877,0.9298,0.5088,0.9123,0.8596,3.2982,0.8947,0.9123,0.9123,0.9123,0.5965,0.2456,0.8947,0.9123,0.3509,3.0,0.7719,11.4561,0.9649,1,0,1,0,0,2,0,1,0,1,0,2,1,1,0,0,0,1,0,1,6,1028337,134740,4571,43660,1101,528293,0,102986,1291,4459,483,1305,188,23353,1829,1979,1979,13.8,0.0,4.4,0.1,53.4,0.0,10.4,0.1,0.5,0.1,0.1,0.1,2.4,0.2,0.2,0.1
